FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26-A,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,47.677,-96.267,Flat,Flat,0-25,75,75
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,DAHL POOL,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,48.317163,-95.867612,Flat,Flat,0-25,1054,1054
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,LAKE HARDEN A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,44.97611111,-94.50444444,Flat,Flat,0-25,262,262
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,MERO SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.5218,-95.9787,Flat,Flat,0-25,133,133
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,AVOK SLOUGH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,45.4829,-95.6022,Flat,Flat,0-25,131,131
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26-A CATTAIL,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,47.691,-96.258,Flat,Flat,0-25,5,5
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,HORMANN,Treatment,Fires Ignited on FWS Lands by FWS,ABR,Prescribed Fire,5/15/2011,5/15/2011,5/15/2011,45.6822,-96.5791,Flat,Flat,0-25,173,173
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26 NE,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,47.702,-96.245,Flat,Flat,0-25,35,35
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,GREINER,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,45.4939,-95.6247,Flat,Flat,0-25,117,117
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,KRANTZ LAKE,Treatment,Fires Ignited on FWS Lands by FWS,mxp,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.491,-95.293,Flat,Flat,0-25,201,201
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,MATTSON,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.7362,-95.6821,Flat,Flat,0-25,49,49
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,STEWART SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.6343,-95.566,Flat,Flat,0-25,138,138
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,SVOR CENTRAL,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,45.3614,-95.4648,Flat,Flat,0-25,259,259
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,HILLMAN EAST,Treatment,Fires Ignited on FWS Lands by FWS,abr,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,45.2869,-96.298,Flat,Flat,0-25,120,120
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,ATR/OUTCROPS C & D,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.2526,-96.40117,Flat,Flat,0-25,33,33
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,ATR/OUTCROPS C & D,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.2526,-96.40117,Flat,Flat,0-25,33,33
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,RINKE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.24134,-96.34464,Flat,Flat,0-25,72,72
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,RINKE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.24134,-96.34464,Flat,Flat,0-25,72,72
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,SIOUX FORKS N,Treatment,Fires Ignited on FWS Lands by FWS,Sioux Falls SD,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,43.55564406,-95.20307584,Flat,Flat,0-25,308,308
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 35,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,47.681,-96.248,Flat,Flat,0-25,156,156
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,TWIN LAKES EAST,Treatment,Fires Ignited on FWS Lands by FWS,ABR,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.346,-96.3751,Flat,Flat,0-25,10,10
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,JORGENSON WEST,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.7543,-95.5351,Flat,Flat,0-25,94,94
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,GROVE LAKE,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,45.6067,-95.2206,Flat,Flat,0-25,483,483
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,JACKSON,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,45.6638,-95.567,Flat,Flat,0-25,58,58
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,PELICAN CREEK NORTH,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,9/9/2011,9/9/2011,9/9/2011,46.078306,-95.866981,Flat,Flat,0-25,28,28
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,BENSON LAKE WEST,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.4642,-95.5212,Flat,Flat,0-25,78,78
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,BLUE HILL PILES,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,2/15/2011,2/15/2011,2/15/2011,45.50527778,-93.71833333,Flat,Flat,0-25,13,13
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,PATCH BURN 1-2,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,47.705,-96.313,Flat,Flat,0-25,370,370
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,REESE EASEMENT 28G-1,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.4914,-95.6174,Flat,Flat,0-25,25,25
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,LAWRENCE EAST,Treatment,Fires Ignited on FWS Lands by FWS,abr,Prescribed Fire,4/28/2011,4/28/2011,4/28/2011,45.6134,-96.62,Flat,Flat,0-25,234,234
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,COLBERT,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/5/2011,5/5/2011,5/5/2011,44.9006,-96.1904,Flat,Flat,0-25,180,180
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,RIDGEWAY NW,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,9/8/2011,9/8/2011,9/8/2011,46.250969,-96.207972,Flat,Flat,0-25,80,80
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,TOWNSEND NE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,9/26/2011,9/26/2011,9/26/2011,46.265,-96.062778,Flat,Flat,0-25,8,8
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,GLACIAL LAKE,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.5335,-95.5388,Flat,Flat,0-25,40,40
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,HOAG SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,44.36913,-96.20756,Flat,Flat,0-25,196,196
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,HOAG SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,44.36913,-96.20756,Flat,Flat,0-25,196,196
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,BRL WEST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,44.33126,-95.90945,Flat,Flat,0-25,153,153
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,EDSON PILES 2,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,3/2/2011,3/2/2011,3/2/2011,45.49388889,-93.66222222,Flat,Flat,0-25,29,29
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,RANDALL B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,45.39,-95.20611111,Flat,Flat,0-25,237,237
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,REYNOLDS,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,45.00972222,-95.17083333,Flat,Flat,0-25,147,147
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,MAINTENANCE CENTER WOODLOT,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,48.295395,-95.858376,Flat,Flat,0-25,10,10
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,ACTON,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/13/2011,4/13/2011,4/13/2011,45.135,-94.6675,Flat,Flat,0-25,92,92
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,TWIN LAKE S,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,43.5743002,-93.44270617,Flat,Flat,0-25,227,227
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,OLSON WEST,Treatment,Fires Ignited on FWS Lands by FWS,ABR,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.4058,-96.1217,Flat,Flat,0-25,149,149
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,SMITH WEST ,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.6674,-96.0258,Flat,Flat,0-25,50,50
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,RUNESTONE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,9/7/2011,9/7/2011,9/7/2011,45.804722,-95.656056,Flat,Flat,0-25,18,18
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,KRAUSE HABITAT EASEMENT (LANDOWNER CONDUCTED),Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,43.82721679,-94.11228084,Flat,Flat,0-25,46,46
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,DAHL CONTROL 36A WEST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,48.321335,-95.894609,Flat,Flat,0-25,4,4
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,DAHL SAVANNAH PRAIRIE&PLOT-EAST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,48.315639,-95.882152,Flat,Flat,0-25,18,18
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,KILL,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.7169,-95.0387,Flat,Flat,0-25,80,80
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,POMME DE TERRE RIVER SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.713,-95.8483,Flat,Flat,0-25,115,115
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,PROULX,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/25/2011,5/25/2011,5/25/2011,47.675,-96.245,Flat,Flat,0-25,6,6
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,PIERCE LAKE N,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,43.6106575,-94.56618657,Flat,Flat,0-25,116,116
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,LOEN NE,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.3875,-95.4833,Flat,Flat,0-25,120,120
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,HILLMAN SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,abr,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,45.2804,-96.2942,Flat,Flat,0-25,65,65
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,SYNDICATE/LUND,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,45.23198,-96.34777,Flat,Flat,0-25,306,306
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,YELLOWBANK SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.22465,-96.3548,Flat,Flat,0-25,47,47
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,YELLOWBANK SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.22465,-96.3548,Flat,Flat,0-25,47,47
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,IOWA - CHICAGO & EASTERN S,Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/4/2011,5/4/2011,5/4/2011,43.66776879,-93.52618966,Flat,Flat,0-25,38,38
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CASEY LAKE A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/10/2011,5/10/2011,5/10/2011,45.08944444,-94.47888889,Flat,Flat,0-25,17,17
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CARLSON LAKE C,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,45.2275,-94.94916667,Flat,Flat,0-25,42,42
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,KNOLLWOOD OFFICE,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,46.236389,-96.0425,Flat,Flat,0-25,5,5
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,DEMAREE E,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,46.066724,-96.032556,Flat,Flat,0-25,127,127
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,SETTER NE 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,46.907,-96.024,Flat,Flat,0-25,112,112
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,MATTER EAST 2011,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,4/25/2011,4/25/2011,4/25/2011,47.015,-95.977,Flat,Flat,0-25,75,75
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,POOL 8,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,9/28/2011,9/28/2011,9/28/2011,48.358902,-96.015341,Flat,Flat,0-25,1139,1139
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,BISON PASTURE OUTCROP,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.25908,-96.37772,Flat,Flat,0-25,15,15
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,BISON PASTURE OUTCROP,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.25908,-96.37772,Flat,Flat,0-25,15,15
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,CEDAR MILLS C,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,44.93861111,-94.56611111,Flat,Flat,0-25,92,92
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,SHEEK HABITAT EASEMENT (LANDOWNER CONDUCTED),Treatment,Fires Ignited on FWS Lands by FWS,Twin Cities MN,Prescribed Fire,5/7/2011,5/7/2011,5/7/2011,43.72100235,-94.77184013,Flat,Flat,0-25,22,22
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,ROSSOW,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,10/20/2011,10/20/2011,10/20/2011,46.215083,-96.077167,Flat,Flat,0-25,82,82
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,JOHNSON,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/29/2011,4/29/2011,4/29/2011,44.99444444,-94.98472222,Flat,Flat,0-25,80,80
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,LAKE LILLIAN,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,44.97,-94.90388889,Flat,Flat,0-25,323,323
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,PEIFER SCHOOL C,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,45.13722222,-94.43555556,Flat,Flat,0-25,137,137
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,HISTORICAL SOCIETY,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,45.907571,-95.774272,Flat,Flat,0-25,255,255
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,HOFF-FRONNING WEST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,46.184616,-96.041973,Flat,Flat,0-25,50,50
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,BUCHOLZ,Treatment,Fires Ignited on FWS Lands by FWS,MXP,Prescribed Fire,10/3/2011,10/3/2011,10/3/2011,45.2516,-96.2695,Flat,Flat,0-25,5,5
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,PHASIANUS 4,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/18/2011,4/18/2011,4/18/2011,44.80972222,-94.27722222,Flat,Flat,0-25,146,146
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,HOERNEMANN NORTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,9/7/2011,9/7/2011,9/7/2011,45.25697,-96.36002,Flat,Flat,0-25,25,25
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,HOERNEMANN NORTH,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,9/7/2011,9/7/2011,9/7/2011,45.25697,-96.36002,Flat,Flat,0-25,25,25
MNMVR,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,BLOOMINGTON VC FY12,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,10/20/2011,10/20/2011,10/20/2011,44.86388889,-93.21611111,Flat,Flat,0-25,3,3
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,SHOP UNIT RX,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,11/17/2011,11/17/2011,11/17/2011,45.53083333,-93.74555556,Flat,Flat,0-25,8,8
MNCMR,CRANE MEADOWS NATIONAL WILDLIFE REFUGE,CRANE MEADOWS PILES,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,1/13/2011,1/13/2011,1/13/2011,45.95222222,-94.18083333,Flat,Flat,0-25,5,5
MNRYR,RYDELL NATIONAL WILDLIFE REFUGE,CHURCH LAKE,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/6/2011,5/6/2011,5/6/2011,47.656,-96.094,Flat,Flat,0-25,68,68
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,PEIFER SCHOOL B,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,45.13583333,-94.44361111,Flat,Flat,0-25,35,35
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,PHASIANUS 3,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,4/18/2011,4/18/2011,4/18/2011,44.81027778,-94.2875,Flat,Flat,0-25,40,40
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,OXCART 3-3,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,9/19/2011,9/19/2011,9/19/2011,47.723,-96.327,Flat,Flat,0-25,80,80
MNFFR,FERGUS FALLS WETLAND MANAGEMENT DISTRICT,WIEGERS WEST,Treatment,Fires Ignited on FWS Lands by FWS,8376650a,Prescribed Fire,9/28/2011,9/28/2011,9/28/2011,46.349111,-96.125153,Flat,Flat,0-25,50,50
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,EDWARDS NORTHEAST,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/11/2011,5/11/2011,5/11/2011,45.568,-95.8271,Flat,Flat,0-25,48,48
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,GULLICKSON NORTH,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/24/2011,5/24/2011,5/24/2011,45.6638,-95.567,Flat,Flat,0-25,23,23
MNBGR,BIG STONE NATIONAL WILDLIFE REFUGE,ANDERSON EAST,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/3/2011,5/3/2011,5/3/2011,45.21725,-96.29961,Flat,Flat,0-25,194,194
